"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"8600000US60004","ZCTA5 60004","50639","909","42269","974","535","216","71","61","5085","518","54","66","1603","478","1022","348","136","87","886","311",
"8600000US60005","ZCTA5 60005","30079","1078","24885","1245","941","504","0","24","2836","549","0","24","1035","638","382","153","39","50","343","141",
"8600000US60007","ZCTA5 60007","33161","294","27393","649","533","205","15","22","3161","453","22","36","1055","478","982","330","340","222","642","263",
"8600000US60008","ZCTA5 60008","21663","417","15989","1042","934","486","14","20","1591","435","4","7","2450","778","681","386","111","115","570","303",
"8600000US60010","ZCTA5 60010","46455","816","38968","1126","514","172","16","16","5237","574","146","223","806","525","768","223","60","51","708","220",
"8600000US60015","ZCTA5 60015","27529","475","24349","549","341","145","6","9","2400","531","0","21","90","73","343","141","14","19","329","141",
"8600000US60016","ZCTA5 60016","59291","954","39811","1404","2259","551","328","267","13002","1267","83","70","2593","864","1215","397","98","73","1117","380",
"8600000US60018","ZCTA5 60018","30037","1039","23927","1190","547","248","110","133","3417","505","12","18","1313","487","711","292","129","96","582","264",
"8600000US60022","ZCTA5 60022","8471","173","7628","401","285","232","0","16","464","253","0","16","6","8","88","81","0","16","88","81",
"8600000US60025","ZCTA5 60025","40935","1041","33444","1108","607","274","15","18","5654","675","0","24","363","296","852","207","75","53","777","201",
"8600000US60026","ZCTA5 60026","14021","699","10514","631","193","138","0","18","2836","534","0","18","178","163","300","165","114","107","186","95",
"8600000US60029","ZCTA5 60029","476","102","440","102","8","10","0","11","27","20","0","11","0","11","1","3","1","3","0","11",
"8600000US60043","ZCTA5 60043","2460","130","2309","148","0","11","0","11","115","66","0","11","0","11","36","35","0","11","36","35",
"8600000US60053","ZCTA5 60053","23089","49","13871","797","607","453","0","21","7187","489","0","21","777","343","647","264","171","141","476","197",
"8600000US60056","ZCTA5 60056","54524","416","41861","1390","1678","606","334","199","6638","777","29","32","2368","920","1616","452","393","272","1223","385",
"8600000US60062","ZCTA5 60062","40686","701","31990","987","986","390","27","43","6976","813","0","24","240","157","467","141","38","42","429","138",
"8600000US60067","ZCTA5 60067","37840","972","29007","941","662","254","59","55","5607","637","0","24","1219","428","1286","444","352","297","934","320",
"8600000US60068","ZCTA5 60068","37433","273","33791","553","315","191","0","24","2191","399","105","166","199","112","832","227","102","112","730","199",
"8600000US60070","ZCTA5 60070","15908","140","10419","808","336","238","0","18","1400","348","0","18","3621","874","132","114","54","66","78","91",
"8600000US60074","ZCTA5 60074","39217","910","24045","1265","1322","528","159","180","3386","711","3","9","8805","1263","1497","475","682","394","815","268",
"8600000US60076","ZCTA5 60076","31788","880","17638","939","2936","815","46","46","9144","681","100","95","636","296","1288","396","450","274","838","266",
"8600000US60077","ZCTA5 60077","27626","901","15522","1230","1655","511","52","86","8020","912","7","10","501","268","1869","609","258","136","1611","669",
"8600000US60089","ZCTA5 60089","41014","173","29519","820","664","245","87","72","8716","640","23","31","850","358","1155","327","159","116","996","312",
"8600000US60090","ZCTA5 60090","38553","59","23852","1039","956","312","307","225","7084","759","92","107","5182","839","1080","301","318","161","762","280",
"8600000US60091","ZCTA5 60091","27165","78","22600","405","228","126","35","57","3478","356","0","21","63","44","761","209","0","21","761","209",
"8600000US60093","ZCTA5 60093","19409","381","17921","511","53","57","70","76","966","316","0","18","109","66","290","137","0","18","290","137",
"8600000US60103","ZCTA5 60103","41755","356","31307","968","812","358","120","127","6595","770","7","10","1132","416","1782","629","823","526","959","371",
"8600000US60104","ZCTA5 60104","18904","161","2505","634","14123","587","12","19","169","99","0","18","1863","562","232","133","33","40","199","125",
"8600000US60107","ZCTA5 60107","39894","369","25535","1470","1649","507","169","153","5527","776","0","24","5855","1236","1159","369","331","204","828","322",
"8600000US60118","ZCTA5 60118","16050","374","13714","618","254","220","68","81","1033","316","0","18","669","330","312","144","125","86","187","100",
"8600000US60120","ZCTA5 60120","50573","1397","29031","1746","2786","575","481","462","2350","672","0","27","14931","1655","994","291","466","198","528","193",
"8600000US60126","ZCTA5 60126","49027","424","43876","736","590","229","99","127","2960","453","11","18","413","192","1078","239","180","117","898","195",
"8600000US60130","ZCTA5 60130","13927","29","8068","541","3970","574","78","107","842","237","0","18","376","217","593","317","107","119","486","263",
"8600000US60131","ZCTA5 60131","17834","95","13913","719","102","58","91","95","668","291","0","18","2678","661","382","171","160","104","222","141",
"8600000US60133","ZCTA5 60133","38113","101","20162","1344","2990","575","50","43","6744","739","47","65","6549","1058","1571","469","530","255","1041","416",
"8600000US60141","ZCTA5 60141","302","148","147","88","150","111","0","11","0","11","0","11","5","11","0","11","0","11","0","11",
"8600000US60153","ZCTA5 60153","23578","38","4299","670","16176","767","50","59","120","100","0","21","2415","782","518","247","215","140","303","181",
"8600000US60154","ZCTA5 60154","16440","79","11288","653","3069","468","15","24","588","209","0","18","1026","399","454","220","210","202","244","107",
"8600000US60155","ZCTA5 60155","7755","34","1527","335","5939","315","0","16","102","99","0","16","0","16","187","181","14","22","173","181",
"8600000US60160","ZCTA5 60160","25666","661","14978","1231","1699","551","120","141","180","103","0","21","8402","1158","287","183","88","80","199","167",
"8600000US60162","ZCTA5 60162","8176","86","2747","536","3415","614","0","16","78","68","0","16","1800","646","136","73","0","16","136","73",
"8600000US60163","ZCTA5 60163","5103","42","2618","342","1480","212","27","44","124","101","38","60","682","297","134","124","99","116","35","54",
"8600000US60164","ZCTA5 60164","21228","569","15230","1127","683","255","152","134","428","210","0","21","4315","933","420","167","165","86","255","150",
"8600000US60165","ZCTA5 60165","4894","19","2411","515","125","102","0","11","109","80","0","11","2150","542","99","108","62","97","37","39",
"8600000US60169","ZCTA5 60169","33373","228","17798","1022","1877","412","124","140","7454","722","0","24","4978","991","1142","398","443","235","699","285",
"8600000US60171","ZCTA5 60171","10076","44","8406","654","131","199","0","18","139","110","0","18","1280","616","120","88","24","42","96","75",
"8600000US60172","ZCTA5 60172","24371","518","19957","968","929","390","411","333","1992","611","13","21","218","116","851","324","230","208","621","256",
"8600000US60173","ZCTA5 60173","12610","674","5875","525","403","206","54","55","5199","614","0","18","559","519","520","203","207","145","313","158",
"8600000US60176","ZCTA5 60176","11621","54","9205","625","259","183","82","141","622","199","0","18","1342","531","111","160","9","18","102","160",
"8600000US60192","ZCTA5 60192","15467","565","9337","595","474","291","144","176","4528","516","16","29","476","331","492","246","131","162","361","174",
"8600000US60193","ZCTA5 60193","39646","1078","28638","1209","1253","399","448","318","6798","768","186","232","1555","651","768","246","121","118","647","226",
"8600000US60194","ZCTA5 60194","19525","925","11036","809","997","396","166","148","4920","773","0","18","1684","584","722","254","367","211","355","153",
"8600000US60195","ZCTA5 60195","5020","639","2017","438","477","548","0","16","2168","443","0","16","240","357","118","67","62","51","56","43",
"8600000US60201","ZCTA5 60201","41884","906","29076","918","5393","553","65","77","4948","578","0","24","964","271","1438","311","118","75","1320","294",
"8600000US60202","ZCTA5 60202","32703","908","20603","858","6892","771","38","38","2086","551","0","24","1510","564","1574","360","204","132","1370","345",
"8600000US60203","ZCTA5 60203","4397","475","3268","374","529","353","47","56","402","153","0","11","57","65","94","64","0","11","94","64",
"8600000US60301","ZCTA5 60301","2831","333","1797","348","478","177","0","11","280","127","0","11","163","151","113","71","0","11","113","71",
"8600000US60302","ZCTA5 60302","31620","470","21526","621","6293","617","51","58","1522","301","40","45","558","246","1630","367","106","75","1524","349",
"8600000US60304","ZCTA5 60304","17782","420","12545","464","2757","367","46","52","685","226","29","45","637","309","1083","205","126","81","957","186",
"8600000US60305","ZCTA5 60305","10970","26","9347","386","679","231","0","18","423","157","0","18","199","133","322","203","6","13","316","202",
"8600000US60402","ZCTA5 60402","62960","228","33476","1865","3956","592","207","113","1538","426","0","27","22020","1762","1763","612","840","389","923","388",
"8600000US60406","ZCTA5 60406","25338","1152","12461","1160","7983","1248","241","174","38","33","0","21","3953","1053","662","388","38","81","624","375",
"8600000US60409","ZCTA5 60409","36658","77","8341","961","27306","879","172","183","7","13","0","24","662","316","170","90","40","49","130","79",
"8600000US60411","ZCTA5 60411","57603","544","16941","1154","29752","1285","26","32","197","107","0","27","8702","1072","1985","588","649","312","1336","487",
"8600000US60415","ZCTA5 60415","14123","52","11409","653","1606","499","14","30","318","284","13","25","535","353","228","183","127","132","101","106",
"8600000US60419","ZCTA5 60419","22436","107","1002","259","20825","390","12","19","121","87","0","21","21","30","455","218","63","49","392","222",
"8600000US60422","ZCTA5 60422","9941","518","3643","488","5945","511","0","16","206","134","18","30","21","30","108","101","0","16","108","101",
"8600000US60423","ZCTA5 60423","31418","570","27910","775","1771","365","28","37","872","310","0","24","383","206","454","196","75","76","379","175",
"8600000US60425","ZCTA5 60425","8842","222","2153","468","6109","524","0","16","27","35","0","16","126","136","427","365","9","14","418","363",
