"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"8600000US60621","ZCTA5 60621","29042","1602","748","295","27522","1515","80","71","76","66","0","20","489","332","127","73","20","37","107","63",
"8600000US60622","ZCTA5 60622","52793","1594","41414","1510","3553","636","41","51","2405","380","0","26","3327","719","2053","348","523","210","1530","302",
"8600000US60623","ZCTA5 60623","85979","2523","33003","2124","26854","1642","358","185","76","69","14","22","24597","1925","1077","294","299","166","778","265",
"8600000US60624","ZCTA5 60624","36158","1579","1336","312","32849","1378","14","14","113","89","29","43","1414","694","403","176","51","58","352","183",
"8600000US60625","ZCTA5 60625","79243","2226","51248","2120","3946","705","105","103","10509","1136","0","26","9173","1435","4262","792","935","298","3327","672",
"8600000US60626","ZCTA5 60626","49730","1471","29438","1409","12567","975","51","46","2927","501","6","12","3025","658","1716","334","218","133","1498","295",
"8600000US60628","ZCTA5 60628","66724","2097","2937","368","62552","1987","46","40","123","88","11","18","449","172","606","203","64","53","542","205",
"8600000US60629","ZCTA5 60629","111850","2823","47029","2470","22078","1484","309","216","491","236","10","16","39737","2690","2196","577","1054","407","1142","388",
"8600000US60630","ZCTA5 60630","57344","1895","40992","1777","927","255","177","95","6555","836","0","26","5725","1144","2968","616","852","329","2116","517",
"8600000US60631","ZCTA5 60631","29529","875","26717","945","445","356","30","31","866","320","0","20","589","306","882","251","171","101","711","252",
"8600000US60632","ZCTA5 60632","91039","2340","47114","2371","1690","544","1141","456","5171","631","17","20","33845","2663","2061","571","1084","314","977","426",
"8600000US60633","ZCTA5 60633","12871","964","9137","1055","2988","378","5","7","37","49","0","17","603","251","101","73","55","61","46","39",
"8600000US60634","ZCTA5 60634","75995","1762","59649","1819","1654","655","337","203","4170","699","45","54","8688","1259","1452","380","779","297","673","236",
"8600000US60636","ZCTA5 60636","32203","1291","1276","307","28954","1264","23","29","13","17","0","23","1442","433","495","210","78","65","417","202",
"8600000US60637","ZCTA5 60637","47454","1522","7680","520","36163","1543","219","236","2129","285","0","23","340","178","923","219","122","61","801","210",
"8600000US60638","ZCTA5 60638","58797","1733","42585","1738","1877","449","365","312","347","153","0","26","11530","1617","2093","643","1193","527","900","344",
"8600000US60639","ZCTA5 60639","90517","2599","39163","2457","12547","917","391","181","1493","432","39","34","34511","2534","2373","539","1136","383","1237","397",
"8600000US60640","ZCTA5 60640","69715","1741","44809","1552","11825","922","347","178","7688","1032","23","36","2760","851","2263","419","191","84","2072","425",
"8600000US60641","ZCTA5 60641","71023","2080","48458","1851","1710","348","247","137","3293","607","45","36","14202","1243","3068","619","1018","399","2050","442",
"8600000US60642","ZCTA5 60642","20201","1038","14545","886","2088","417","20","31","1450","353","0","20","1267","609","831","205","155","70","676","199",
"8600000US60643","ZCTA5 60643","49870","1762","11092","645","36669","1487","72","57","181","107","9","16","476","317","1371","605","279","317","1092","402",
"8600000US60644","ZCTA5 60644","47712","2087","2277","548","42915","2091","32","34","114","138","63","75","1768","581","543","283","153","114","390","261",
"8600000US60645","ZCTA5 60645","47732","1749","27158","1695","8167","1110","239","227","7803","929","0","23","2396","780","1969","433","203","120","1766","442",
"8600000US60646","ZCTA5 60646","27987","997","23303","980","305","157","7","15","2897","562","0","20","825","398","650","217","121","111","529","186",
"8600000US60647","ZCTA5 60647","87509","1670","67153","1403","5729","802","303","163","2780","424","31","42","8165","1003","3348","401","754","212","2594","355",
"8600000US60649","ZCTA5 60649","46024","2069","1863","549","42755","1986","108","100","192","109","0","23","438","280","668","213","59","67","609","206",
