"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"8600000US60004","ZCTA5 60004","51504","983","41071","1346","1182","616","165","155","5317","735","36","59","2040","664","1693","618","500","355","1193","508",
"8600000US60005","ZCTA5 60005","29109","1040","22635","1425","854","490","31","50","2649","781","0","22","1478","660","1462","1194","793","730","669","503",
"8600000US60007","ZCTA5 60007","32792","127","26471","989","794","432","13","20","3537","685","25","47","472","271","1480","627","973","604","507","227",
"8600000US60008","ZCTA5 60008","22007","657","15668","1072","506","387","26","28","1849","499","4","7","2416","988","1538","551","866","424","672","303",
"8600000US60010","ZCTA5 60010","46326","1023","37493","1296","456","145","8","13","6473","994","184","247","823","481","889","253","120","66","769","242",
"8600000US60015","ZCTA5 60015","26942","495","24304","581","240","121","0","22","1902","470","14","16","97","69","385","143","69","45","316","130",
"8600000US60016","ZCTA5 60016","59663","1400","38875","1886","2756","660","332","241","12379","1298","58","55","2999","920","2264","755","965","601","1299","417",
"8600000US60018","ZCTA5 60018","28477","1454","21270","1517","627","309","371","325","3108","511","0","22","1324","422","1777","700","1285","679","492","247",
"8600000US60022","ZCTA5 60022","8245","407","7612","486","231","212","0","17","339","214","0","17","3","6","60","40","28","32","32","30",
"8600000US60025","ZCTA5 60025","41552","1374","32859","1378","566","236","9","12","6518","1034","0","25","349","231","1251","306","264","184","987","274",
"8600000US60026","ZCTA5 60026","13667","912","10011","750","200","124","0","19","2823","687","0","19","172","127","461","223","148","129","313","182",
"8600000US60029","ZCTA5 60029","512","93","437","90","18","25","0","12","53","41","0","12","0","12","4","7","4","7","0","12",
"8600000US60043","ZCTA5 60043","2356","206","2108","175","0","12","1","2","66","48","0","12","35","31","146","154","117","152","29","27",
"8600000US60053","ZCTA5 60053","22937","34","14060","724","191","121","118","180","7347","673","0","22","415","314","806","305","224","148","582","283",
"8600000US60056","ZCTA5 60056","54023","379","39716","1390","1728","722","307","202","6971","894","23","35","3201","974","2077","634","947","428","1130","426",
"8600000US60062","ZCTA5 60062","39917","729","31234","1204","1098","613","19","31","6617","875","0","25","266","156","683","237","153","100","530","205",
"8600000US60067","ZCTA5 60067","38660","1682","29022","1539","508","226","58","55","5871","822","2","4","1549","689","1650","497","413","260","1237","416",
"8600000US60068","ZCTA5 60068","37407","352","33513","667","317","192","0","25","2221","389","0","25","291","168","1065","291","320","173","745","209",
"8600000US60070","ZCTA5 60070","15729","136","10212","905","476","366","0","19","1257","350","0","19","3367","796","417","303","228","234","189","202",
"8600000US60074","ZCTA5 60074","37632","1614","22789","1524","1844","744","276","334","3001","654","18","31","8346","1635","1358","451","845","348","513","236",
"8600000US60076","ZCTA5 60076","31393","1316","17075","1208","3681","1125","25","30","8384","843","126","122","876","361","1226","432","563","290","663","277",
"8600000US60077","ZCTA5 60077","27653","1347","14458","1095","2278","909","52","87","8200","1320","6","9","496","308","2163","631","489","205","1674","639",
"8600000US60089","ZCTA5 60089","40749","164","28416","1205","1343","824","116","80","8936","829","35","43","800","311","1103","355","255","192","848","290",
"8600000US60090","ZCTA5 60090","38741","67","22789","1469","964","438","451","276","6850","876","33","51","6120","1085","1534","542","738","343","796","359",
"8600000US60091","ZCTA5 60091","27004","108","22425","525","208","127","26","43","3411","476","0","22","119","88","815","228","80","86","735","213",
"8600000US60093","ZCTA5 60093","19816","542","17971","741","29","41","27","40","1011","416","0","19","264","266","514","316","21","42","493","310",
"8600000US60103","ZCTA5 60103","41845","548","30476","1542","989","410","53","62","6877","1572","5","8","1593","598","1852","606","1220","611","632","263",
"8600000US60104","ZCTA5 60104","18799","40","2397","583","13663","782","11","18","146","99","0","19","1757","598","825","442","367","326","458","298",
"8600000US60107","ZCTA5 60107","39970","824","23985","1249","1766","593","288","193","5592","883","0","25","4714","865","3625","1494","2232","1334","1393","845",
"8600000US60118","ZCTA5 60118","16040","424","13852","653","351","310","38","54","710","346","0","19","524","315","565","266","289","252","276","101",
"8600000US60120","ZCTA5 60120","50319","1736","25786","2013","2420","681","560","519","1960","674","36","56","15040","1930","4517","1062","2804","1045","1713","1179",
