"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"860Z200US60004","ZCTA5 60004","52189","1113","39580","1437","1712","730","165","162","6025","844","16","26","1895","622","2796","662","1662","558","1134","420",
"860Z200US60005","ZCTA5 60005","29216","1237","21257","1383","832","419","65","68","2752","667","0","23","1755","804","2555","1302","1790","844","765","571",
"860Z200US60007","ZCTA5 60007","32768","174","24757","1086","760","327","82","79","3690","791","0","26","913","405","2566","823","1889","819","677","261",
"860Z200US60008","ZCTA5 60008","22863","684","14513","1315","763","506","0","23","2498","717","0","23","2818","901","2271","708","1834","648","437","263",
"860Z200US60010","ZCTA5 60010","46674","1309","37566","1240","369","161","34","39","6505","998","116","156","593","226","1491","323","508","177","983","248",
"860Z200US60015","ZCTA5 60015","27835","432","24433","592","305","161","11","14","2282","494","11","16","166","69","627","195","318","148","309","133",
"860Z200US60016","ZCTA5 60016","61988","1554","37233","1891","3273","794","269","192","13252","1498","0","29","2777","857","5184","1189","3190","989","1994","614",
"860Z200US60018","ZCTA5 60018","28820","1361","17848","1205","618","327","714","432","2818","461","0","23","2415","743","4407","883","3935","898","472","149",
"860Z200US60022","ZCTA5 60022","8529","121","8032","276","187","135","0","17","159","141","0","17","0","17","151","81","72","49","79","65",
"860Z200US60025","ZCTA5 60025","40858","1619","30091","1493","492","192","130","168","7529","1176","15","24","606","289","1995","355","828","242","1167","270",
"860Z200US60026","ZCTA5 60026","14743","1024","9750","796","294","153","0","19","3536","825","0","19","199","106","964","352","413","204","551","275",
"860Z200US60029","ZCTA5 60029","546","113","460","108","18","24","0","12","44","31","6","9","0","12","18","19","8","9","10","16",
"860Z200US60043","ZCTA5 60043","2537","214","2193","239","0","12","3","3","77","50","0","12","31","27","233","170","193","167","40","31",
"860Z200US60053","ZCTA5 60053","24910","35","14091","862","387","266","155","191","8397","965","0","23","538","272","1342","363","524","265","818","269",
"860Z200US60056","ZCTA5 60056","56651","300","38435","1888","1595","815","359","227","7763","1121","17","26","4557","1190","3925","871","2416","731","1509","422",
"860Z200US60062","ZCTA5 60062","42004","964","31020","1359","1411","623","0","26","7354","1028","0","26","697","353","1522","446","838","371","684","234",
"860Z200US60067","ZCTA5 60067","38380","1552","27489","1565","1175","401","9","14","6849","833","2","4","1451","580","1405","407","517","226","888","327",
"860Z200US60068","ZCTA5 60068","39332","456","33503","1088","437","175","29","30","2495","666","0","26","569","284","2299","498","951","290","1348","400",
"860Z200US60070","ZCTA5 60070","15721","144","10680","835","189","222","0","19","1184","391","0","19","2623","776","1045","461","921","438","124","170",
"860Z200US60074","ZCTA5 60074","37222","1442","21727","1413","2007","819","301","304","3023","691","326","386","7452","1707","2386","673","1682","664","704","251",
"860Z200US60076","ZCTA5 60076","33170","1549","17455","1329","3225","1144","110","123","8853","1055","52","80","1745","467","1730","507","948","302","782","383",
"860Z200US60077","ZCTA5 60077","29330","1427","14480","1102","2671","966","69","75","8468","1172","8","10","1229","765","2405","538","860","262","1545","529",
"860Z200US60089","ZCTA5 60089","42867","79","27806","1063","1536","896","372","341","10892","790","87","83","762","333","1412","358","535","266","877","273",
"860Z200US60090","ZCTA5 60090","38753","71","21043","1452","558","263","600","304","6478","726","0","26","8022","1354","2052","599","1564","586","488","197",
"860Z200US60091","ZCTA5 60091","27591","169","22569","625","213","116","26","44","3182","485","0","23","331","197","1270","336","476","211","794","237",
"860Z200US60093","ZCTA5 60093","20272","445","17864","482","14","19","18","28","990","285","5","10","576","360","805","294","282","119","523","266",
"860Z200US60103","ZCTA5 60103","42047","433","28706","1300","1592","571","320","260","6710","1240","26","43","2556","764","2137","657","1300","564","837","260",
"860Z200US60104","ZCTA5 60104","18621","51","1485","506","13374","641","15","23","179","119","0","19","2263","621","1305","453","928","400","377","273",
"860Z200US60107","ZCTA5 60107","39450","804","19766","1261","2118","733","517","299","5536","696","0","26","4053","931","7460","1635","5853","1327","1607","791",
"860Z200US60120","ZCTA5 60120","50589","1663","22563","1882","2298","542","928","422","2521","612","90","87","13284","1536","8905","1642","6607","1547","2298","1343",
"860Z200US60126","ZCTA5 60126","48032","534","39132","1028","893","330","74","68","3602","680","0","26","610","207","3721","677","2318","580","1403","347",
"860Z200US60130","ZCTA5 60130","14165","28","7884","740","3578","536","80","112","946","371","0","19","855","356","822","335","436","278","386","182",
"860Z200US60131","ZCTA5 60131","18258","127","9431","1016","181","97","371","232","853","397","0","19","3304","708","4118","1154","3743","1174","375","191",
"860Z200US60133","ZCTA5 60133","37222","55","15838","1197","2865","799","296","161","7257","1047","0","26","5336","926","5630","1172","4761","1101","869","373",
"860Z200US60141","ZCTA5 60141","280","109","129","77","104","110","0","12","11","26","3","6","23","40","10","31","0","12","10","31",
"860Z200US60153","ZCTA5 60153","23385","39","3183","776","14167","968","56","52","239","156","0","23","3849","787","1891","591","1402","523","489","305",
"860Z200US60154","ZCTA5 60154","16694","32","10901","663","3244","655","24","41","548","256","0","19","813","336","1164","340","980","337","184","91",
"860Z200US60155","ZCTA5 60155","7965","37","1143","418","5461","701","0","17","248","232","13","22","687","463","413","344","137","142","276","267",
