"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"8600000US60004","ZCTA5 60004","50639","867","42842","934","688","215","29","27","4643","642","24","26","1613","542","800","251","126","127","674","214",
"8600000US60005","ZCTA5 60005","29942","786","25238","778","631","227","63","76","2331","467","0","20","1105","514","574","219","124","135","450","154",
"8600000US60007","ZCTA5 60007","33952","299","27775","718","251","124","31","50","3613","542","10","19","1519","473","753","308","222","186","531","227",
"8600000US60008","ZCTA5 60008","22043","617","15541","1009","1377","502","84","141","1782","462","74","118","3025","917","160","82","22","27","138","79",
"8600000US60010","ZCTA5 60010","44331","860","39089","908","244","99","25","19","4259","505","0","23","114","81","600","227","92","89","508","211",
"8600000US60015","ZCTA5 60015","27356","477","25014","524","307","150","25","35","1619","481","0","20","88","55","303","126","42","45","261","115",
"8600000US60016","ZCTA5 60016","61096","970","40822","1450","2140","553","189","116","13907","1093","0","26","2955","755","1083","333","291","200","792","267",
"8600000US60018","ZCTA5 60018","29351","895","20683","1149","453","196","66","91","3178","434","10","16","4436","795","525","178","79","90","446","149",
"8600000US60022","ZCTA5 60022","8486","134","8042","218","71","64","0","15","256","127","0","15","0","15","117","91","15","25","102","85",
"8600000US60025","ZCTA5 60025","39525","904","31877","921","524","231","112","89","5894","548","0","23","379","241","739","209","33","30","706","206",
"8600000US60026","ZCTA5 60026","14376","627","11255","690","295","200","0","17","2559","544","0","17","42","34","225","118","56","82","169","92",
"8600000US60029","ZCTA5 60029","469","91","445","97","2","4","0","11","21","19","0","11","0","11","1","2","0","11","1","2",
"8600000US60043","ZCTA5 60043","2653","151","2514","166","26","31","0","11","76","37","0","11","0","11","37","25","0","11","37","25",
"8600000US60053","ZCTA5 60053","23472","37","14572","685","664","363","26","28","7159","491","0","20","625","394","426","141","93","86","333","126",
"8600000US60056","ZCTA5 60056","55803","384","41265","1223","1308","461","178","139","6900","772","27","34","4905","1064","1220","501","212","192","1008","419",
"8600000US60062","ZCTA5 60062","40344","587","33292","709","391","164","0","23","5625","635","0","23","285","155","751","271","15","24","736","269",
"8600000US60067","ZCTA5 60067","37899","1007","30063","1093","681","282","18","26","5535","820","22","46","851","433","729","252","163","122","566","231",
"8600000US60068","ZCTA5 60068","37608","276","34700","600","295","166","16","19","1574","429","73","107","391","267","559","215","148","160","411","130",
"8600000US60070","ZCTA5 60070","16147","117","12301","651","46","66","22","41","1382","403","44","54","2220","596","132","117","98","114","34","33",
"8600000US60074","ZCTA5 60074","39757","982","25870","1368","1416","565","0","23","4465","765","0","23","6962","1164","1044","400","434","302","610","236",
"8600000US60076","ZCTA5 60076","32523","905","20279","1118","2005","661","84","111","8550","651","0","23","363","157","1242","400","244","153","998","326",
"8600000US60077","ZCTA5 60077","28053","868","16530","1202","1807","722","19","30","8522","1021","0","20","463","219","712","300","28","22","684","298",
"8600000US60089","ZCTA5 60089","41594","73","32073","720","944","387","68","59","7530","655","0","23","334","157","645","195","54","42","591","188",
"8600000US60090","ZCTA5 60090","38014","73","25488","1279","756","357","120","112","5772","663","66","79","5286","1159","526","180","187","124","339","125",
"8600000US60091","ZCTA5 60091","27350","158","22679","498","255","136","18","28","3857","452","4","7","60","44","477","165","28","23","449","163",
"8600000US60093","ZCTA5 60093","19447","506","17593","556","37","38","57","65","992","226","0","17","255","213","513","195","105","93","408","172",
"8600000US60103","ZCTA5 60103","42429","281","32756","967","725","310","203","162","6567","913","5","8","1233","307","940","350","356","220","584","276",
"8600000US60104","ZCTA5 60104","19025","158","2570","462","14400","699","51","86","115","91","0","17","1374","484","515","264","263","178","252","200",
"8600000US60107","ZCTA5 60107","41320","582","24827","1290","1350","419","78","85","5300","846","8","15","8508","1115","1249","366","441","264","808","271",
"8600000US60118","ZCTA5 60118","15681","512","13733","672","407","211","3","6","968","337","10","15","386","336","174","75","8","24","166","73",
"8600000US60120","ZCTA5 60120","50564","1069","30410","1795","2530","548","279","238","2452","568","0","26","13687","1756","1206","311","280","156","926","269",
"8600000US60126","ZCTA5 60126","47403","379","42514","635","606","209","205","205","2856","382","0","23","608","254","614","163","84","52","530","158",
"8600000US60130","ZCTA5 60130","14194","31","7880","551","4339","518","0","17","1224","415","0","17","409","263","342","185","147","163","195","90",
"8600000US60131","ZCTA5 60131","18125","184","14206","910","155","104","24","49","514","238","0","17","2866","900","360","162","41","56","319","146",
"8600000US60133","ZCTA5 60133","38488","146","19456","1115","3337","783","72","58","6515","545","0","23","8290","940","818","361","166","134","652","321",
"8600000US60141","ZCTA5 60141","151","99","82","58","69","59","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"8600000US60153","ZCTA5 60153","24148","32","3560","691","17968","765","0","20","93","102","0","20","2370","665","157","91","17","27","140","88",
"8600000US60154","ZCTA5 60154","16833","89","12062","538","2759","442","38","36","671","334","0","17","710","269","593","252","343","209","250","138",
"8600000US60155","ZCTA5 60155","7947","26","1745","354","5808","365","0","15","207","166","0","15","73","78","114","123","15","23","99","119",
"8600000US60160","ZCTA5 60160","25656","163","14033","1106","1543","403","28","34","233","145","6","11","9224","976","589","214","401","196","188","153",
"8600000US60162","ZCTA5 60162","8140","82","3002","480","3439","363","0","15","94","94","0","15","1550","416","55","40","17","27","38","29",
"8600000US60163","ZCTA5 60163","5217","36","2685","436","1322","385","25","30","343","154","0","15","781","368","61","54","0","15","61","54",
"8600000US60164","ZCTA5 60164","22035","439","14916","1045","818","230","128","157","875","360","0","20","4589","997","709","261","398","210","311","168",
"8600000US60165","ZCTA5 60165","4947","30","2292","493","43","40","0","11","51","56","0","11","2438","498","123","109","104","103","19","30",
"8600000US60169","ZCTA5 60169","34164","97","19207","1022","1887","459","20","31","7979","742","0","23","4115","922","956","281","355","205","601","235",
"8600000US60171","ZCTA5 60171","10299","67","8744","464","225","243","0","17","214","143","0","17","738","281","378","212","243","202","135","95",
"8600000US60172","ZCTA5 60172","24793","350","20711","748","1415","477","12","15","2030","443","133","123","151","120","341","158","78","75","263","145",
"8600000US60173","ZCTA5 60173","12361","620","6229","599","555","184","0","17","4896","569","10","16","502","364","169","123","78","80","91","84",
