"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"8600000US60004","ZCTA5 60004","50222","847","42996","923","746","243","23","25","4193","640","0","23","1582","538","682","220","111","120","571","201",
"8600000US60005","ZCTA5 60005","30462","809","25282","907","764","306","202","213","2164","459","0","23","1429","536","621","220","113","116","508","200",
"8600000US60007","ZCTA5 60007","33830","242","27693","712","213","123","104","122","3584","465","18","30","1543","423","675","299","273","213","402","148",
"8600000US60008","ZCTA5 60008","22402","554","16362","933","828","366","134","167","1639","386","69","119","3180","1004","190","97","52","55","138","89",
"8600000US60010","ZCTA5 60010","44416","1039","38559","1080","285","147","37","31","4674","788","0","23","134","97","727","253","155","125","572","221",
"8600000US60015","ZCTA5 60015","27373","398","25500","472","245","130","16","21","1230","283","0","20","124","71","258","96","50","49","208","88",
"8600000US60016","ZCTA5 60016","61369","743","41196","1350","2212","513","187","111","13474","1062","12","22","3347","914","941","265","285","197","656","201",
"8600000US60018","ZCTA5 60018","29027","827","20219","1017","423","229","94","142","3099","457","0","20","4690","862","502","239","196","166","306","163",
"8600000US60022","ZCTA5 60022","8383","113","8048","177","64","58","0","15","141","76","0","15","17","28","113","98","16","25","97","94",
"8600000US60025","ZCTA5 60025","39263","911","31913","950","472","224","104","79","5713","647","0","23","345","197","716","206","15","16","701","206",
"8600000US60026","ZCTA5 60026","13775","771","10990","704","282","173","0","17","2192","464","0","17","36","33","275","152","89","111","186","112",
"8600000US60029","ZCTA5 60029","478","94","459","94","0","11","0","11","18","18","0","11","0","11","1","2","0","11","1","2",
"8600000US60043","ZCTA5 60043","2648","187","2541","193","26","29","0","11","51","37","0","11","0","11","30","22","0","11","30","22",
"8600000US60053","ZCTA5 60053","23424","53","14952","656","390","159","60","66","6896","541","0","20","452","342","674","264","90","84","584","249",
"8600000US60056","ZCTA5 60056","55617","399","40919","1366","1196","437","146","111","6690","697","11","19","5696","1165","959","433","170","170","789","352",
"8600000US60062","ZCTA5 60062","40211","653","33101","860","583","292","0","23","5524","631","0","23","257","163","746","289","17","26","729","289",
"8600000US60067","ZCTA5 60067","38303","1034","30573","1162","654","289","48","57","5531","790","38","57","666","360","793","251","153","111","640","236",
"8600000US60068","ZCTA5 60068","37511","299","34940","623","344","201","16","16","1472","447","0","23","347","274","392","138","45","61","347","118",
"8600000US60070","ZCTA5 60070","16033","166","12443","740","52","72","17","35","1211","314","56","68","2124","679","130","114","94","105","36","40",
"8600000US60074","ZCTA5 60074","39010","989","26709","1405","1648","544","0","23","5066","829","0","23","4670","1107","917","323","445","273","472","244",
"8600000US60076","ZCTA5 60076","32764","934","20593","1137","2189","554","19","55","8468","857","0","23","574","221","921","308","164","145","757","276",
"8600000US60077","ZCTA5 60077","27822","946","16598","1158","1539","648","17","26","8612","1117","0","20","421","224","635","229","26","27","609","226",
"8600000US60089","ZCTA5 60089","41584","72","32231","723","860","349","86","77","7466","663","0","23","336","163","605","200","56","47","549","193",
"8600000US60090","ZCTA5 60090","37912","57","25518","1207","663","276","126","121","5877","726","25","39","5261","957","442","167","223","139","219","95",
"8600000US60091","ZCTA5 60091","27345","118","23034","450","310","138","52","62","3479","408","6","9","98","85","366","138","29","27","337","137",
