"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"860Z200US60004","ZCTA5 60004","52344","969","40984","1400","1492","740","143","140","5319","923","30","48","2152","553","2224","544","989","398","1235","405",
"860Z200US60005","ZCTA5 60005","29622","863","21782","1435","823","489","45","54","2918","738","0","22","1744","821","2310","1245","1686","832","624","540",
"860Z200US60007","ZCTA5 60007","33048","150","25743","979","776","382","28","33","3970","632","30","48","574","294","1927","823","1161","681","766","376",
"860Z200US60008","ZCTA5 60008","23191","670","15807","1313","811","459","0","22","1678","484","0","22","2682","864","2213","656","1584","609","629","316",
"860Z200US60010","ZCTA5 60010","47130","1147","38208","1289","421","140","45","52","6526","785","119","175","480","186","1331","277","382","146","949","253",
"860Z200US60015","ZCTA5 60015","27671","428","24581","611","263","125","9","15","2109","506","16","24","136","59","557","163","166","78","391","138",
"860Z200US60016","ZCTA5 60016","62140","1550","38055","1490","2858","662","305","231","13620","1251","28","33","3099","984","4175","1093","2236","842","1939","627",
"860Z200US60018","ZCTA5 60018","29161","1434","19390","1179","375","240","597","425","3167","607","0","22","1865","510","3767","1019","3166","969","601","256",
"860Z200US60022","ZCTA5 60022","8536","121","8083","236","128","114","0","17","200","144","0","17","0","17","125","74","42","39","83","68",
"860Z200US60025","ZCTA5 60025","42196","1637","31700","1510","508","219","10","13","7706","1153","0","25","474","313","1798","377","644","262","1154","330",
"860Z200US60026","ZCTA5 60026","14206","1082","9961","728","187","126","0","19","3046","760","0","19","187","122","825","369","304","150","521","356",
"860Z200US60029","ZCTA5 60029","524","125","435","117","23","33","0","12","58","43","0","12","0","12","8","8","8","8","0","12",
"860Z200US60043","ZCTA5 60043","2423","188","2162","178","0","12","1","2","60","55","0","12","30","26","170","160","156","160","14","15",
"860Z200US60053","ZCTA5 60053","25004","33","14612","859","227","133","163","198","8386","883","0","22","483","323","1133","354","390","193","743","298",
"860Z200US60056","ZCTA5 60056","56912","247","39677","1451","1804","844","336","213","7783","1045","25","40","3876","1205","3411","700","2213","650","1198","354",
"860Z200US60062","ZCTA5 60062","41920","913","32862","1066","1017","533","0","25","6374","677","0","25","566","332","1101","349","523","276","578","188",
"860Z200US60067","ZCTA5 60067","39006","1677","28198","1685","1039","573","25","32","6412","773","2","4","1572","620","1758","541","700","307","1058","406",
